SHEET: Metrics Catalog,,,,,,,,,
H04,Unique Error Types,Health – KPI,"Number of distinct error/failure categories","kpis.unique_error_types — hardcoded","SELECT COUNT(DISTINCT event_id) FROM raw_audit_logs WHERE status IN ('FAILED','FAILURE') AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
H05,API Error Rate,Health – KPI,"Percentage of API calls that returned an error","kpis.api_error_rate — hardcoded","Not directly derivable from available tables — raw_audit_logs tracks event status not HTTP API calls","N/A","LIVE (Supabase) — DATA NOT AVAILABLE in current tables",Percentage
H06,p95 Latency,Health – KPI,"95th percentile response latency in milliseconds","kpis.p95_latency_ms — hardcoded","Not available — no latency/response_time field in any of the 7 tables","N/A","LIVE (Supabase) — DATA NOT AVAILABLE in current tables",Time (ms)
H07,Consecutive Failure Streaks,Health – KPI,"Count of consecutive failure sequences","kpis.consecutive_fail_streaks — hardcoded","Per user per service sorted by created_on: detect runs of consecutive status IN ('FAILED','FAILURE'). COUNT(runs >= 2 consecutive failures)","raw_audit_logs","LIVE (Supabase) — Formula Possible but Complex",Count
H08,Most Failed Service,Health – KPI,"Service with highest failure count in last 30 days","failure_by_service[MAX(failed)].service — LIVE","SELECT s.name FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.status IN ('FAILED','FAILURE') AND a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name ORDER BY COUNT(*) DESC LIMIT 1","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Service Name
H09,Most Failed Event Type,Health – KPI,"Event type with highest failure rate","failure_by_event[MAX(failure_rate)].event — LIVE","SELECT e.label, COUNT(CASE WHEN status IN ('FAILED','FAILURE') THEN 1 END)*100.0/COUNT(*) AS rate FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.platform_id=6 GROUP BY e.label ORDER BY rate DESC LIMIT 1","raw_audit_logs, gq_iam_event_master","LIVE (Computed — source data hardcoded)",Event Name
H10,Success Rate vs Prev,Health – Trend,"Change in overall success rate vs previous 30 days","trends.success_rate_vs_prev — hardcoded","success_rate_this_30d - success_rate_prev_30d (both from H01 formula for respective windows)","raw_audit_logs","LIVE (Supabase)",Percentage (±)
H11,Daily Success Rate,Health – Line Chart,"Platform-wide success rate per day over last 8 days","success_rate_series[date].rate — hardcoded","SELECT DATE(created_on), COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs WHERE platform_id=6 GROUP BY DATE(created_on) ORDER BY DATE(created_on) DESC LIMIT 8","raw_audit_logs","LIVE (Supabase)",Time Series
H12,Login Funnel – Attempt,Health – Login Funnel,"Total login attempts (top of funnel)","login_funnel[Attempt].count — hardcoded","SELECT COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H13,Login Funnel – Auth Pass,Health – Login Funnel,"Login attempts that passed authentication","login_funnel[Auth Pass].count — hardcoded","SELECT COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND status='SUCCESS' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H14,Login Funnel – Session Created,Health – Login Funnel,"Authenticated logins resulting in active session","login_funnel[Session].count — hardcoded","Sessions formed from raw_iam_activities (60-min gap) WHERE platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H15,Login Funnel – Action Taken,Health – Login Funnel,"Sessions where user performed at least one action","login_funnel[Action].count — hardcoded","COUNT(sessions WHERE EXISTS raw_audit_logs event for same user_id within session window AND platform_id=6)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M45)",Count
H16,Auth Rate,Health – Login Funnel,"Percentage of login attempts that passed auth","H13/H12*100 — LIVE","H13/H12 * 100","raw_iam_activities","LIVE (Computed from H12 + H13)",Percentage
H17,Session-to-Action Rate,Health – Login Funnel,"Percentage of created sessions where user took action","H15/H14*100 — LIVE","H15/H14 * 100","raw_iam_activities, raw_audit_logs","LIVE (Computed from H14 + H15)",Percentage
H18,Bounce Rate,Health – Login Funnel,"Percentage of sessions that ended without any user action","session_stats.kpis.bounce_rate — hardcoded","shallow_sessions / total_sessions * 100 = 100 - P04 (Completion Rate)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M52)",Percentage
H19,Failed Events per Service,Health – Failure by Service,"Count of failed events per service","failure_by_service[service].failed — hardcoded","SELECT s.name, COUNT(*) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.status IN ('FAILED','FAILURE') AND a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Count
H20,Total Events per Service (Health),Health – Failure by Service,"Count of all events per service for failure rate denominator","failure_by_service[service].total — hardcoded","Same as S08","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Count
H21,Failure Rate per Service,Health – Failure by Service,"Percentage of events that failed per service","H19/H20*100 — LIVE","H19/H20 * 100 per service","raw_audit_logs, raw_iam_services","LIVE (Computed from H19 + H20)",Percentage
H22,Service Failure Status Badge,Health – Failure by Service,"SUCCESS (<8%) | PENDING (8-14%) | FAILED (>=15%)","Derived from H21 — LIVE","IF H21 < 8 THEN SUCCESS; IF < 15 THEN PENDING; ELSE FAILED","raw_audit_logs","LIVE (Computed from H21)",Status
H23,Top Failing Events – Failed Count,Health – Failing Events,"Count of failures per event type","failure_by_event[event].failed — hardcoded","SELECT e.label, COUNT(*) FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.status IN ('FAILED','FAILURE') AND a.platform_id=6 GROUP BY e.label ORDER BY COUNT(*) DESC LIMIT 6","raw_audit_logs, gq_iam_event_master","LIVE (Supabase)",Count
H24,Top Failing Events – Total Count,Health – Failing Events,"Total executions per event type (denominator)","failure_by_event[event].total — hardcoded","SELECT e.label, COUNT(*) FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.platform_id=6 GROUP BY e.label","raw_audit_logs, gq_iam_event_master","LIVE (Supabase)",Count
H25,Top Failing Events – Failure Rate,Health – Failing Events,"Percentage of executions that failed per event type","H23/H24*100 — LIVE","H23/H24 * 100 per event type","raw_audit_logs, gq_iam_event_master","LIVE (Computed from H23 + H24)",Percentage
H26,Session Duration – Under 5 min,Health – Duration Distribution,"Count of sessions shorter than 5 minutes","duration_buckets[< 5 min].count — hardcoded","COUNT(sessions WHERE duration_sec < 300) from 60-min-gap session table","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15 + bucket)",Count
H27,Session Duration – 5 to 15 min,Health – Duration Distribution,"Count of sessions 5–15 minutes long","duration_buckets[5–15 min].count — hardcoded","COUNT(sessions WHERE duration_sec BETWEEN 300 AND 900)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Count
H28,Session Duration – 15 to 30 min,Health – Duration Distribution,"Count of sessions 15–30 minutes long","duration_buckets[15–30 min].count — hardcoded","COUNT(sessions WHERE duration_sec BETWEEN 900 AND 1800)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Count
H29,Session Duration – 30 to 60 min,Health – Duration Distribution,"Count of sessions 30–60 minutes long","duration_buckets[30–60 min].count — hardcoded","COUNT(sessions WHERE duration_sec BETWEEN 1800 AND 3600)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Count
H30,Session Duration – 60 to 120 min,Health – Duration Distribution,"Count of sessions 60–120 minutes long","duration_buckets[60–120 min].count — hardcoded","COUNT(sessions WHERE duration_sec BETWEEN 3600 AND 7200)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Count
H30b,Session Duration – Over 120 min,Health – Duration Distribution,"Count of sessions longer than 120 minutes","duration_buckets[> 120 min].count — hardcoded","COUNT(sessions WHERE duration_sec > 7200)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Count
H31,Events per Session – 1 to 3,Health – Events Distribution,"Count of sessions with 1–3 events","events_per_session_buckets[1–3].count — hardcoded","COUNT(sessions WHERE events_in_session BETWEEN 1 AND 3)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
H32,Events per Session – 4 to 8,Health – Events Distribution,"Count of sessions with 4–8 events","events_per_session_buckets[4–8].count — hardcoded","COUNT(sessions WHERE events_in_session BETWEEN 4 AND 8)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
H33,Events per Session – 9 to 15,Health – Events Distribution,"Count of sessions with 9–15 events","events_per_session_buckets[9–15].count — hardcoded","COUNT(sessions WHERE events_in_session BETWEEN 9 AND 15)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
H34,Events per Session – 16 to 25,Health – Events Distribution,"Count of sessions with 16–25 events","events_per_session_buckets[16–25].count — hardcoded","COUNT(sessions WHERE events_in_session BETWEEN 16 AND 25)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
H35,Events per Session – Over 25,Health – Events Distribution,"Count of sessions with more than 25 events","events_per_session_buckets[> 25].count — hardcoded","COUNT(sessions WHERE events_in_session > 25)","raw_iam_activities, raw_audit_logs","LIVE (Supabase)",Count
H36,Avg Session Duration (Global),Health – KPI,"Platform-wide average session length in minutes","session_stats.kpis.avg_duration_min — hardcoded","AVG(session_duration_sec)/60 from all sessions (60-min gap rule applied to raw_iam_activities + raw_audit_logs)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Time (minutes)
H37,Median Session Duration,Health – KPI,"Median session length in minutes","session_stats.kpis.median_duration_min — hardcoded","PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY session_duration_sec)/60 across all sessions","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Time (minutes)
H38,Cross-Module Rate,Health – KPI,"Percentage of sessions touching 3 or more distinct services","session_stats.kpis.cross_module_rate — hardcoded","COUNT(sessions WHERE COUNT(DISTINCT service_id in session) >= 3) / COUNT(all sessions) * 100","raw_audit_logs, raw_iam_activities","LIVE (Supabase)",Percentage
H39,Avg Events per Session (Global),Health – Session Stats,"Average events per session across all users","session_stats.kpis.avg_events_per_session — hardcoded","AVG(COUNT(*) per session) from raw_audit_logs grouped by session_id","raw_audit_logs, raw_iam_activities","LIVE (Supabase)",Count
H40,Sessions per User (Avg),Health – Session Stats,"Average sessions per active user","session_stats.kpis.sessions_per_user_avg — hardcoded","total_sessions_30d / COUNT(DISTINCT user_id) — both from raw_iam_activities","raw_iam_activities","LIVE (Supabase) (M16)",Count
H41,Peak Hour of Day,Health – Session Stats,"Hour (0-23) with most activity platform-wide","session_stats.kpis.peak_hour — hardcoded","SELECT HOUR(created_on), COUNT(*) FROM raw_iam_activities WHERE platform_id=6 GROUP BY HOUR(created_on) ORDER BY COUNT(*) DESC LIMIT 1","raw_iam_activities","LIVE (Supabase) (M49)",Hour (0–23)
H42,Peak Day of Week,Health – Session Stats,"Day of week with highest platform activity","session_stats.kpis.peak_day_of_week — hardcoded","SELECT DAYNAME(created_on), COUNT(*) FROM raw_iam_activities WHERE platform_id=6 GROUP BY DAYNAME(created_on) ORDER BY COUNT(*) DESC LIMIT 1","raw_iam_activities","LIVE (Supabase)",Day Name
H43,Sessions by Role Count,Health – Session Stats by Role,"Total session count per user role","sessions.by_role[role].sessions — hardcoded","COUNT(session_id) GROUP BY g.name via user_has_groups + group_master JOIN","raw_iam_activities, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Count
H44,Avg Duration by Role,Health – Session Stats by Role,"Average session duration in minutes per role","sessions.by_role[role].avg_duration_min — hardcoded","Same as P32","raw_iam_activities, raw_audit_logs, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase) (M17)",Time (minutes)
H45,Avg Events by Role,Health – Session Stats by Role,"Average events per session per user role","sessions.by_role[role].avg_events — hardcoded","Same as P33","raw_audit_logs, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Count
,,,,,,,,
--- METRICS BUILDER SECTION ---,,,,,,,,
M01,DAU/MAU Ratio,Metrics Builder,"Daily active users divided by monthly active users — engagement health indicator","(active_users_today / active_users_30d) * 100 — LIVE","(COUNT DISTINCT user_id on CURRENT_DATE / COUNT DISTINCT user_id in last 30 days) * 100 from raw_iam_activities WHERE type='LOGIN' AND platform_id=6","raw_iam_activities","LIVE (Computed — source data hardcoded) — Formula in M4 of metrics_analysis.csv",Percentage
M02,Failure Rate (Computed),Metrics Builder,"Percentage of all platform events that failed","(failed_events_30d / total_events_30d) * 100 — LIVE","H03 / S02 * 100","raw_audit_logs","LIVE (Computed from H03 + S02) — M2 of metrics_analysis.csv",Percentage
M03,High-Health Users %,Metrics Builder,"Percentage of active users with health score >= 75","COUNT(users WHERE health_score>=75) / active_users * 100 — LIVE","After computing health scores via M43 formula: COUNT(score >= 75) / COUNT(all active users) * 100","raw_iam_activities, raw_audit_logs","LIVE (Computed — depends on P02 real formula)",Percentage
M04,Avg Events per Active User,Metrics Builder,"Average events per active user in 30 days","total_events_30d / active_users_30d — LIVE","S02 / P01 (both from real queries)","raw_audit_logs, raw_iam_activities","LIVE (Computed from S02 + P01)",Count
M05,Report Export Efficiency,Metrics Builder,"Percentage of generated reports that were exported","SUM(service.report_count_30d * service.report_export_rate) / SUM(service.report_count_30d) * 100 — LIVE","S31 (total exports) / S06 (total reports) * 100","raw_audit_logs (JSON payload)","LIVE (Computed — S06 + S31) — M33 of metrics_analysis.csv",Percentage
M06,Session Engagement Score,Metrics Builder,"Composite score: avg_events_per_session × completion_rate / 100","avg_events_per_session * completion_rate / 100 — LIVE","H39 × P04 / 100","raw_iam_activities, raw_audit_logs","LIVE (Computed from H39 + P04 — source data hardcoded)",Score
M07,Cross-Module Rate (Computed),Metrics Builder,"Sessions spanning 3 or more services","session_stats.kpis.cross_module_rate — LIVE passthrough","Same as H38","raw_audit_logs, raw_iam_activities","LIVE passthrough from H38",Percentage
M08,Top Service by Success Rate,Metrics Builder,"Service with highest success rate","services[MAX(success_rate)].service_name — LIVE","SELECT s.name FROM S10 query ORDER BY success_rate DESC LIMIT 1","raw_audit_logs, raw_iam_services","LIVE (Computed from S10 — source data hardcoded)",Service Name
M09,DAU (Direct),Metrics Builder,"Today's count of unique active users","overview.active_users_today — hardcoded passthrough","SELECT COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE type='LOGIN' AND DATE(created_on)=CURRENT_DATE AND platform_id=6","raw_iam_activities","LIVE (Supabase) (M1)",Count
M10,MAU (Direct),Metrics Builder,"Last 30 days unique active user count","overview.active_users_30d — hardcoded passthrough","SELECT COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase) (M3)",Count
M11,Success Rate (Direct),Metrics Builder,"Platform-wide percentage of successful events","overview.overall_success_rate — hardcoded passthrough","Same as H01","raw_audit_logs","LIVE (Supabase)",Percentage
M12,Avg Health Score (Direct),Metrics Builder,"Platform-wide average user health score","overview.avg_health_score — hardcoded passthrough","Same as P02 — AVG(health_score) after computing via M43 formula","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M43)",Score (0–100)
M13,Dormant Users,Metrics Builder,"Count of users with no login in last 30 days","overview.dormant_users — hardcoded","SELECT COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE platform_id=6 GROUP BY user_id HAVING MAX(created_on) < CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase) (M13 of metrics_analysis.csv)",Count + Percentage
M14,Total Events (30d) Direct,Metrics Builder,"Total events across the platform in last 30 days","overview.total_events_30d — hardcoded passthrough","Same as S02","raw_audit_logs","LIVE (Supabase)",Count
M15,Top Service by Volume (Direct),Metrics Builder,"Service name and count for highest-volume service","services[MAX(events_30d)].{name, events} — LIVE","Same as S04 + S05","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Service Name + Count
M16,Custom AI Metric,Metrics Builder,"User-defined formula evaluated by AI or builtin logic","User-submitted formula against available data","Evaluated against whichever real SQL queries match the formula components","All tables — depends on formula","DYNAMIC — AI Evaluated",Varies
,,,,,,,,
,,,,,,,,
SHEET: Source Tables — Real Table Names,,,,,,,,
JSON File (Mock),Real Table Name,Location,Primary Purpose,Key Columns,Used By Metrics,Notes
users.json,gq_iam_users + raw_iam_activities + raw_iam_user_groups + raw_iam_groups,Desktop/Dashboard-Project/,"User roster with health scores, sessions, events, groups","gq_iam_users: id/email/is_active/created_on | raw_iam_activities: user_id/type/status/created_on/platform_id | raw_iam_user_groups: user_id/group_id/deleted_on | raw_iam_groups: id/name","P01–P25, P32–P34","health_score is computed field — not a raw column; must be derived via M43 formula"
overview.json,raw_iam_activities + raw_audit_logs,Desktop/Dashboard-Project/,"Aggregated global KPIs — all hardcoded numbers in mock must be derived from SQL","raw_iam_activities: user_id/type/platform_id/created_on | raw_audit_logs: user_id/service_id/event_id/type/status/platform_id/created_on","P02–P10, M09–M15","All values in overview.json are LIVE (Supabase) mock numbers"
dau_series.json,raw_iam_activities,Desktop/Dashboard-Project/,"Daily time series of DAU / sessions / events","user_id/type/platform_id/created_on","P11–P13","GROUP BY DATE(created_on) WHERE type='LOGIN' for DAU; session derivation for sessions column"
role_distribution.json,raw_iam_user_groups + raw_iam_groups + raw_iam_activities + raw_audit_logs,Desktop/Dashboard-Project/,"Role-level aggregations","group_master: id/name | user_has_groups: user_id/group_id/deleted_on","P14–P17","deleted_on IS NULL filter critical for current role membership"
cohort_retention.json,raw_iam_activities,Desktop/Dashboard-Project/,"Monthly cohort first-login + return tracking","user_id/type/platform_id/created_on","P26–P31","first_login = MIN(created_on) per user WHERE type='LOGIN'"
service_usage.json,raw_audit_logs + raw_iam_services,Desktop/Dashboard-Project/,"Per-service event counts, success rates, reports","raw_audit_logs: service_id/event_id/user_id/type/status/platform_id/created_on/data | raw_iam_services: id/slug/name","S01–S21","report_export_rate requires JSON payload parsing — export key in data column"
event_heatmap.json,raw_audit_logs + raw_iam_services,Desktop/Dashboard-Project/,"Events per service per hour heatmap","service_id/created_on (HOUR function)","S18–S19","SELECT HOUR(created_on) — no separate hour column"
session_stats.json,raw_iam_activities + raw_audit_logs,Desktop/Dashboard-Project/,"Session behavior — duration, depth, distribution buckets, by-role stats","user_id/created_on/platform_id from both tables — session derived via 60-min gap rule","H26–H45, P32–P34","Sessions NOT a stored table — must be derived programmatically using 60-min gap rule"
health_overview.json,raw_audit_logs + raw_iam_activities,Desktop/Dashboard-Project/,"Platform health — success/failure rates, login funnel, failure by service/event","status/service_id/event_id/type/platform_id/created_on","H01–H25","API error rate (H05) and p95 latency (H06) NOT available in any table"
user_events.json,raw_audit_logs + gq_iam_users + raw_iam_services + gq_iam_event_master,Desktop/Dashboard-Project/,"Recent event feed rows","raw_audit_logs: all columns | joins on service_id → raw_iam_services.name | event_id → gq_iam_event_master.label | user_id → gq_iam_users.email","S22–S26","ORDER BY created_on DESC LIMIT N"
service_drill.json,raw_audit_logs + raw_iam_services + gq_iam_event_master + gq_iam_users + raw_iam_user_groups + raw_iam_groups,Desktop/Dashboard-Project/,"Deep-dive per-service metrics","All tables joined on service_id/event_id/user_id","S27–S34","report_type and export fields require JSON payload parsing from data column"
,,,,,,,,
,,,,,,,,
SHEET: Data Status Legend,,,,,,,,
Status Label,Meaning,Action Required
LIVE (Supabase),"Real SQL formula exists in metrics_analysis.csv and data is in real tables. Ready to implement.",Wire up Python/SQL pipeline to replace mock JSON
LIVE (Supabase),"Current value is a hardcoded number in mock JSON. Real formula has been designed and is documented here.","Implement the SQL formula — data exists in real tables"
LIVE (Supabase) — DATA NOT AVAILABLE,"Current value is hardcoded. The real data needed does NOT exist in any of the 7 available tables.","Requires new data source (e.g. API gateway logs for latency, HTTP access logs for API error rate)"
LIVE (Computed),"Metric is calculated in real-time on the frontend from other data already loaded.","No action needed for this metric itself — fix upstream source metrics"
LIVE (Computed — source data hardcoded),"The computation logic is correct but feeds from hardcoded mock data instead of real SQL.","Fix the upstream source metrics; this metric will auto-correct"
PARTIAL,"Formula possible but data coverage is incomplete in available tables.","Use with caveat — document coverage gap"
,,,,,,,,
,,,,,,,,
SHEET: Metrics NOT Possible from Current Tables,,,,,,,,
Metric,Reason Not Possible,Source in metrics_analysis.csv
API Error Rate (H05),"No HTTP error rate or API gateway log in any of the 7 tables — only event-level status available",N/A — identified in this audit
p95 Latency (H06),"No response_time or latency column in any table",N/A — identified in this audit
Bounce Rate on Dashboard (M24),"Cannot identify which service_id = dashboard page; no single-action session signal without page-view data","metrics_analysis.csv M24"
Search Usage Rate,"Zero search-related events in gq_iam_event_master after checking all 504 event labels","metrics_analysis.csv M36"
Search-to-Success Rate,"No search event_id exists in gq_iam_event_master","metrics_analysis.csv M37"
Filter Usage Rate,"No filter interaction events in any table","metrics_analysis.csv M53"
Template Usage Rate,"No template-related events in event_master or audit_logs","metrics_analysis.csv M54"
Return-after-Alert Rate,"No notification or alert events in any table","metrics_analysis.csv M55"
Dashboard Revisit Rate,"No page-level events available — module-level only","metrics_analysis.csv M56"
Product Value Score,"Requires ROI or financial outcome data — not in any available table","metrics_analysis.csv M44"
,,,,,,,,
,,,,,,,,
SHEET: User Health Score — Full Formula Breakdown,,,,,,,,
Component,Weight,Formula,Tables Required,Notes
Login Frequency (norm_login_freq),25%,"raw = COUNT(logins per user in period) from raw_iam_activities WHERE type='LOGIN' AND platform_id=6. norm = (raw - MIN(raw)) / (MAX(raw) - MIN(raw)) across all users","raw_iam_activities","Min-max normalization per period window"
Action Count (norm_action_count),25%,"raw = COUNT(*) per user FROM raw_audit_logs WHERE platform_id=6 AND type='ACTIVITY' in period. norm = (raw - MIN) / (MAX - MIN)","raw_audit_logs","Counts all ACTIVITY type events"
Module Diversity (norm_module_diversity),25%,"raw = COUNT(DISTINCT service_id) per user FROM raw_audit_logs WHERE platform_id=6 in period. norm = (raw - MIN) / (MAX - MIN)","raw_audit_logs, raw_iam_services","Higher score = user touches more services"
Report Usage (norm_report_usage),25%,"raw = COUNT(*) per user FROM raw_audit_logs WHERE type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6 in period. norm = (raw - MIN) / (MAX - MIN)","raw_audit_logs","Zero report usage = 0 component score"
Final Score,,health_score = ROUND((norm_login_freq + norm_action_count + norm_module_diversity + norm_report_usage) / 4 * 100),"All 4 tables above","Weights are 0.25 each (equal) — configurable. Score is 0–100. Reference: metrics_analysis.csv row M43"
Avg Health Score,,AVG(health_score) across all active users in platform_id=6,"Same as above","Displayed on People KPI card as P02"
